2026-03-07 13:33:28,310 [INFO] [100968] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100124] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100744] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100962] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100967] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100731] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100191] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100389] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100596] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100166] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100079] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100794] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100881] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100721] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100994] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100713] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100391] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100370] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100735] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100685] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100123] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100725] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100751] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100449] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100912] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100072] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100379] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100328] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100497] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100325] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100173] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100534] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100413] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100428] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100833] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100369] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100260] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100576] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100718] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100924] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100462] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100371] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100792] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100350] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100122] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100733] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100748] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100296] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100471] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100068] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100094] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100561] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100019] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100003] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100302] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100789] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100439] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100112] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100595] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100510] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100827] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100530] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100250] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100145] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100726] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100950] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100862] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100668] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100620] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100373] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100294] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100993] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100292] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100287] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100613] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100143] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100367] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100586] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100908] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100738] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100732] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100183] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100948] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,311 [INFO] [100001] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,312 [INFO] [100854] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,312 [INFO] [100651] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,312 [INFO] [100298] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,312 [INFO] [100769] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,312 [INFO] [100822] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,312 [INFO] [100388] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:29,312 [INFO] [100339] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:29,312 [INFO] [100104] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:29,312 [INFO] [100378] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:29,312 [INFO] [100340] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:29,312 [INFO] [100722] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:29,312 [INFO] [100847] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:29,312 [INFO] [100088] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:29,312 [INFO] [100176] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:29,312 [INFO] [100327] RSI=None MACD=(None, None) STOCH=None
